Nimi,Valuutta,Tietoa,Rating,Riski,Vastuullisuus (SFDR),Omistajia Nordnetissä,Kulut,Kategoria,Yläluokka,Alakategoria
Storebrand Global Plus A EUR,EUR,"Storebrand Global Plus on indeksiä lähellä oleva vastuullinen osakerahasto, joka sijoittaa laajasti eri toimialojen osakkeisiin maailman osakemarkkinoilla.Rahasto keskittyy kestävän kehityksen yrityksiin ja voi sijoittaa jopa 10 prosenttia rahaston varoista ratkaisuyrityksiin. Rahasto noudattaa vastuullisen sijoittamisen periaatteitamme. Niiden mukaisesti emme sijoita muun muassa yrityksiin,jotka rikkovat kansainvälisiä sääntöjä ja sopimuksia. Nämä koskevat ihmisoikeuksia, työlainsäädäntöä ja kansainvälistä oikeutta,korruptiota, talousrikollisuutta, vakavia ilmasto- ja ympäristövahinkoja ja kiistanalaisia aseita (maamiinat, rypälepommit ja ydinaseet). Suljemme pois myös yritykset, joiden liikevaihdosta yli 5 % tulee tupakkatuotteiden,aseiden,alkoholin, uhkapelien,pornografian,kannabistuotteiden ja fossiilisten polttoaineiden valmistamisesta ja/tai jakelusta, sekä yritykset, joilla on suuret fossiilisten polttoaineiden varannot.",3 stars,4 / 7,8,668,"0,41%",Maantiede,Maailma,
Evli Pohjoismaat Yrityslaina B,EUR,"Sijoitusrahasto Evli Pohjoismaat Yrityslaina on pitkän koron yrityslainarahasto, joka sijoittaa varansa pääasiassa pohjoismaisten yritysten, rahoituslaitosten ja muiden yhteisöjen liikkeeseen laskemiin lainoihin. Sijoituksia tehdään luottoluokiteltuihin investment grade- ja high yield –lainoihin sekä luottoluokittelemattomiin yrityslainoihin. Rahasto voi sijoittaa myös johdannaissopimuksiin sekä suojaustarkoituksessa että osana rahaston tavoitteiden mukaista sijoitustoimintaa.",4 stars,2 / 7,8,354,"0,75%",Korko,Joustava,
Jupiter EM Mkt Dt L € H Acc,EUR,The objective of the fund is to seek to achieve asset growth through investment in a well-diversified portfolio of fixed and variable rate debt securities issued in Emerging Markets.,2 stars,3 / 7,6,7,"1,95%",Korko,Kehittyvät maat,
GS Glbl Hi Yld Oth Ccy Inc EUR Hdg,EUR,"Rahasto on kansainvälinen korkorahasto, joka sijoittaa pääasiassa alhaisen luottoluokituksen omaaviin yrityslainoihin, niin kutsuttuihin High Yield -obligaatioihin. High Yield -obligaatiot mahdollistavat paremman tuoton kuin perinteiset korkosijoitukset mutta korkeammalla riskitasolla. Näiden obligaatioiden markkinat ovat perinteisesti olleet USA:ssa, mutta rahasto on valuuttakurssisuojattu (euro).",2 stars,2 / 7,8,30,"1,27%",Korko,High Yield,
SEB Climate Focus High Yield Fund C(EUR),EUR,The objective of the Sub-Fund is to deliver an attractive return on your high-yield investments while simultaneously establishing a perdurable positive environmental impact in order to achieve the longterm objectives of the Paris Agreement.,0 stars,2 / 7,9,64,"1,06%",Korko,High Yield,
Aktia Korkosalkku B,EUR,"Rahaston varat sijoitetaan korkomarkkinoille, pääsääntöisesti sijoitusrahastojen ja yhteissijoitusyritysten osuuksiin. Rahaston sijoituskohteiden neutraalipainot ovat: valtionlainat 15 %,hintaindeksien kehitykseen sidotut valtionlainat 5 %, yrityslainat 30 %, matalamman luottoluokituksen high yield-lainat 20 % ja kehittyvien markkinoiden valtionlainat 30 %.",5 stars,2 / 7,8,344,"1,39%",Korko,Yhdistelmä,
BGF Sustainable Global Dynamic Eq A2,USD,"Global Dynamic Equity Fund -rahasto pyrkii maksimoimaan kokonaistuoton. Rahasto sijoittaa maailmanlaajuisesti vähintään 70 prosenttia kokonaisvarallisuudestaan osakkeisiin ilman maa- tai aluerajoituksia. Rahasto pyrkii yleensä sijoittamaan osakkeisiin, jotka ovat sijoitusneuvojan mielestä aliarvostettuja. Rahasto voi myös sijoittaa pienten tai kasvavien yhtiöiden osakkeisiin. Valuuttariskiä hallitaan joustavasti.",3 stars,4 / 7,8,150,"1,79%",Maantiede,Maailma,
SEB Mixed 50 C (EUR),EUR,"Tämä aktiivisesti hallinnoitu rahasto pyrkii kasvattamaan rahastosijoituksen arvoa ajan myötä ja ylittämään vertailuindeksin tuoton. Rahastonhoitaja tekee aktiivisia sijoituspäätöksiä vallitsevien markkinanäkymien analyysin ja huolellisten valintojen pohjalta. Rahasto sijoittaa suoraan tai epäsuorasti osakkeisiin, velkaarvopapereihin ja rahamarkkinainstrumentteihin. Rahaston tavoitteena on sijoittaa 50 % globaaleihin osakkeisiin ja osakesidonnaisiin arvopapereihin, mukaan lukien kehittyvien markkinoiden osakkeet. Rahaston nettoaltistus osakkeisiin voi kuitenkin vaihdella markkinatekijöistä riippuen eri aikoina 20-80 % välillä.",4 stars,3 / 7,8,313,"1,17%",Yhdistelmä,Maltillinen,
Evli Pohjoismaat B,EUR,"Sijoitusrahasto Evli Pohjoismaat on osakerahasto, joka sijoittaa varansa pääasiassa pohjoismaisiin osakkeisiin. Rahaston sijoitusstrategia painottaa yhtiöitä, joilla on vakaa kassavirta ja jotka ovat siihen suhteutettuna vähävelkaisia ja edullisesti hinnoiteltuja. Rahastolla ei ole indeksi-, toimiala- tai maarajoitteita Pohjoismaiden sisällä.",2 stars,4 / 7,8,368,"1,61%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Pohjoismaat
Fidelity Glb MA Gr & Inc A-Acc-EUR,EUR,"The fund aims to achieve capital growth over the medium to long term and provide income. The fund invests in a range of asset classes including corporate and government debt securities, equities, real estate, infrastructure and commodities, from anywhere in the world, including emerging markets.",2 stars,3 / 7,8,13,"1,76%",Yhdistelmä,Maltillinen,
Jupiter Merian NA Eq (IRL) L $ Acc,USD,The objective of the fund is to seek to achieve long term capital growth through the active management of a diversified portfolio invested primarily in North American stock markets. It is not proposed to concentrate investments in any one industry or sector.,3 stars,4 / 7,8,28,"1,71%",Maantiede,Kehittyneet maat – suuret yhtiöt,Yhdysvallat suuret sekatyyli
BGF Global Allocation A2,USD,"Rahasto pyrkii maksimoimaan Yhdysvaltain dollareissa esitetyn sijoituksien kokonaistuoton sijoittamalla hallitusti pienellä riskillä osakkeisiin, velkakirjoihin ja lyhytaikaisiin arvopapereihin. Vaikka Rahaston varojen sijoittamisella ei ole määrättyjä maantietellisiä rajoja, se sijoittaa normaaleissa markkinaolosuhteissa ensisijaisesti Yhdysvalloissa, Kanadassa, Länsi-Euroopassa ja Kaukoidässä sijaitsevien tai toimivien valtiollisten tai yksityisten yhtiöiden liikkeeseenlaskijoiden arvopapereihin.",4 stars,3 / 7,6,157,"1,77%",Yhdistelmä,Maltillinen,
Mirae Asset ESG Emerg Asia ex-CHN EqAUSD,USD,"The primary objective of the Fund is to achieve long term growth in the share price through capital appreciation, measured in US Dollars, of the underlying equity portfolio which promotes environmental, social and governance (ESG) criteria. The Principal Investment Manager will seek to achieve the objective of the Sub-Fund by investing mainly in equities and equity related securities of companies domiciled in or exercising a large portion of their economic activity in emerging markets in Asia (including but not limited to, territories and special administrative regions) such as India, Indonesia, Korea, Malaysia, Philippines, Taiwan, Thailand excluding China.",2 stars,4 / 7,8,8,"2,41%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia-Tyynimeri ei-Japani
Fidelity Switzerland A-Dis-CHF,CHF,"Fidelity Switzerland Fund on osakerahasto, joka sijoittaa pääasiallisesti sveitsiläisiin sekä suurten että pienten ja keskisuurten yrityksien osakkeisiin.",1 star,4 / 7,8,197,"1,93%",Maantiede,Kehittyneet maat – suuret yhtiöt,Sveitsi
Jupiter Dynamic Bond L EUR Acc,EUR,"The fund seeks to achieve a high income with the prospect of capital growth from a portfolio of investments in global fixed interest securities. The Fund will invest at least 70% of its Net Asset Value in higher yielding debt securities, either directly or indirectly through derivative instruments.",2 stars,3 / 7,6,34,"1,46%",Korko,Joustava,
Lannebo Småbolag D,EUR,"The fund is an actively managed fund with an emphasis on small-and medium-sized companies in the Nordic countries, mainly Sweden. Stock selection is based on a long-term fundamental analysis of companies in all industries combined with the movement in the portfolio. The criterion for a company's size is its market capitalization, which at the time of investment may not exceed one percent of the total market capitalization.",3 stars,5 / 7,8,52,"1,63%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Ruotsi small/mid
UBS (Lux) BF Global Flex (EUR H) P acc,EUR,"Rahasto sijoittaa laajalti hajautetulla tavalla kansainvälisiin joukkovelkakirjamarkkinoihin. Sijoitussalkun maturiteettia hoidetaan aktiivisesti (ks. tiedot jäljellä olevasta maturiteetista).- Eri markkinoilla olevia valuuttakurssiriskejä ei suojata tilivaluuttana olevaa Sveitsin frangia vastaan.- Sijoittamistavoitteena on saavuttaa korkein mahdollinen tulos kansainvälisillä joukkovelkakirjamarkkinoilla.- Rahasto sopii sijoittajille, jotka haluavat laajalti hajautetun salkun, joka sisältää korkealaatuisia kansainvälisiä joukkovelkakirjoja ja niille, jotka haluavat hyötyä valuuttakurssivaihteluista.",3 stars,2 / 7,8,56,"1,30%",Korko,Yhdistelmä,
DWS Invest Global Bonds LC,EUR,"This sub-fund promotes environmental and social characteristics and reports as product in accordance with article 8(1) of Regulation (EU) 2019/2088 on sustainability related disclosures in the financial services sector (“SFDR”). While the sub-fund does not have as its objective a sustainable investment, it will invest a minimum proportion of its assets in sustainable investments as defined by article 2 (17) SFDR. The objective of the investment policy of the fund is to generate an above-average return for the sub-fund. The sub-fund is actively managed and is not managed in reference to a benchmark.",3 stars,2 / 7,8,56,"1,08%",Korko,Yhdistelmä,
Evli Lyhyt Yrityslaina B,EUR,"Sijoitusrahasto Evli Lyhyt Yrityslaina on lyhyen maturiteetin yrityslainarahasto, joka sijoittaa varansa pääsääntöisesti eurooppalaisten yritysten ja pankkien liikkeeseen laskemiin, lyhyen jäljellä olevan juoksuajan omaaviin euromääräisiin joukkovelkakirjoihin sekä muihin korkoa tuottaviin sijoituskohteisiin. Sijoitukset tehdään sekä ylemmän (Investment Grade) että alemman (High Yield) luottoluokituksen lainoihin. Sijoitusten keskimääräinen luottoluokitus on vähintään B- tai vastaavaa riskitasoa oleva luokitus, jolloin rahaston sijoituskohteisiin liittyy merkittävä luottoriski. Rahaston korkosijoitusten keskimääräinen juoksuaika voi olla enintään 2,5 vuotta ja yksittäisen sijoituksen osalta enintään 5 vuotta, mikä osaltaan pienentää luottoriskiä.",5 stars,2 / 7,8,895,"0,56%",Korko,Lyhyet korot / Rahamarkkina,
Franklin Natural Resources A(acc)USD,USD,"Rahasto sijoittaa ensisijaisesti sellaisten yhtiöiden, mukaan lukien pienet ja keskisuuret yhtiöt, osakesidonnaisiin ja velkasidonnaisiin arvopapereihin sekä talletustodistuksiin, jotka (i) harjoittavat merkittävää osaa liiketoiminnastaan luonnonvarasektorilla ja jotka (ii) omistavat merkittävän osan omistuksistaan kohdassa (i) mainituissa yhtiöissä. Rahaston sijoitustavoitteiden kannalta luonnonvarasektori sisältää yhtiöt, jotka tuottavat, jalostavat, käsittelevät, kuljettavat ja markkinoivat luonnonvaroja tai tarjoavat niihin liittyviä palveluja. Sektoriin voivat kuulua esimerkiksi seuraavat alat: integroitu öljyala, öljyn ja kaasun etsintä ja tuotanto, energiapalvelut ja -teknologia, vaihtoehtoiset energialähteet ja ympäristöpalvelut, metsätuotteet, maataloustuotteet, paperituotteet ja kemian teollisuus. Lisäkeinona rahasto voi myös sijoittaa minkä tahansa tyyppisen yhdysvaltalaisen tai muunmaalaisen liikkeeseenlaskijan osakesidonnaisiin tai velkasidonnaisiin arvopapereihin.",2 stars,5 / 7,6,1221,"1,82%",Sektori,Energia,
Danske Invest Nordic IG Corp Bd A,EUR,Rahasto sijoittaa pääosin pohjoismaisiin yrityslainoihin.,4 stars,2 / 7,8,167,"0,69%",Korko,Yrityslainat,
Invesco Emer Mkt Lcl Dbt A USD Acc,USD,"The Fund aims to generate income, together with long term capital growth. The Fund seeks to achieve its objective by investing a minimum of 80% of the NAV of the Fund in debt securities of issuers that are economically tied to emerging market countries and which are denominated in local currencies. The Fund invests in at least three emerging market countries.",3 stars,3 / 7,8,21,"1,51%",Korko,Kehittyvät maat,
Carnegie Small & Micro Cap,SEK,"Carnegie Small & Micro is an actively managed equity fund investing in approximately 40 small-cap companies across Europe. The fund focuses on companies with strong growth potential, solid market positions, and clearly defined niche strategies.",2 stars,4 / 7,8,1343,"1,60%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Eurooppa pienyhtiöt
S-Pankki High Yield Eurooppa Korko A,EUR,"Rahaston varat sijoitetaan korkoa tuottaviin arvopapereihin ja sijoituspäätöksissä huomioidaan liikkeeseenlaskijoina toimivien yritysten ympäristövaikutukset, yhteiskuntavastuu ja hallintotavat. Sijoitukset tehdään pääosin yritysten ETA-alueen valuutoissa liikkeeseen laskemiin High Yield -riskiluokan joukkovelkakirjoihin, joiden pitkän aikavälin luottoluokitus on korkeintaan BB+ (S&P, Fitch) tai Baa1 (Moody’s), mutta rahaston varoja voidaan sijoittaa rajoitetusti myös luokittelemattomien liikkeeseenlaskijoiden joukkovelkakirjoihin. Rahaston sijoitustoiminnan tavoitteena on aktiivisella rahastonhoidolla saada sijoitetuille varoille mahdollisimman hyvä tuotto keskipitkällä aikavälillä. Sijoitustoiminnassa korostuu sijoituskohteiden vastuullisuus.",4 stars,2 / 7,8,798,"1,00%",Korko,High Yield,
Aktia Corporate Bond+ B,EUR,"Rahasto on korkorahasto, joka sijoittaa varansa pääosin korkealaatuisiin Investment Grade (IG) luottoluokituksen omaaviin rahoituslaitosten ja yritysten joukkovelkakirjalainoihin. Enintään 25 % rahaston varoista voi olla sijoitettuna alle IG luottoluokiteltuihin joukkovelkakirjalainoihin. Sijoituksia luottoluokittelemattomiin joukkovelkakirjalainoihin voidaan tehdä.",4 stars,2 / 7,8,1627,"0,66%",Korko,Yrityslainat,
Invesco Global High Yield AEURH,EUR,"The Fund aims to achieve a high level of income together with long term capital growth, while maintaining a lower carbon intensity than that of the Fund’s benchmark. The Fund seeks to achieve its objective by investing primarily in global noninvestment grade debt securities (including emerging markets), most of which are issued by corporate issuers, and which meet the Fund’s environmental, social and governance (ESG) criteria as further detailed below. Such securities are selected based on fundamental credit research, together with an assessment of risk to evaluate the relative attractiveness of an instrument. While the investment universe and mandate is global in nature, the US currently makes up a significant portion of the investment universe and therefore it is likely that the Fund will have a concentration of exposure to issuers in the US.",2 stars,2 / 7,8,29,"1,27%",Korko,High Yield,
SEB Mixed 30 C (EUR),EUR,"Tämä aktiivisesti hallinnoitu rahasto pyrkii kasvattamaan rahastosijoituksen arvoa ajan myötä ja ylittämään vertailuindeksin tuoton. Rahastonhoitaja tekee aktiivisia sijoituspäätöksiä vallitsevien markkinanäkymien analyysin ja huolellisten valintojen pohjalta. Rahasto sijoittaa suoraan tai epäsuorasti osakkeisiin, velkaarvopapereihin ja rahamarkkinainstrumentteihin. Rahaston tavoitteena on sijoittaa 30 % globaaleihin osakkeisiin ja osakesidonnaisiin arvopapereihin, mukaan lukien kehittyvien markkinoiden osakkeet. Rahaston nettoaltistus osakkeisiin voi kuitenkin vaihdella markkinatekijöistä riippuen eri aikoina 0–55 % välillä.",4 stars,3 / 7,8,129,"0,94%",Yhdistelmä,Varovainen,
